_id,type,level,miliseconds,action
672,4,56,1.58E+12,No
673,5,64,1.58E+12,Left
674,4,41,1.58E+12,No
675,5,50,1.58E+12,No
676,22,41,1.58E+12,No
677,4,50,1.58E+12,No
678,5,40,1.58E+12,No
679,22,42,1.58E+12,No
680,4,38,1.58E+12,No
681,5,21,1.58E+12,No
682,4,41,1.58E+12,No
683,5,27,1.58E+12,No
684,4,61,1.58E+12,Fwd
685,5,40,1.58E+12,No
686,4,63,1.58E+12,Fwd
687,5,27,1.58E+12,No
688,4,75,1.58E+12,Fwd
689,5,34,1.58E+12,No
690,4,75,1.58E+12,Fwd
691,5,26,1.58E+12,No
692,4,70,1.58E+12,Fwd
693,5,37,1.58E+12,No
694,4,77,1.58E+12,Fwd
695,5,43,1.58E+12,No
696,4,74,1.58E+12,Fwd
697,5,54,1.58E+12,No
698,4,74,1.58E+12,Fwd
699,5,56,1.58E+12,No
700,4,84,1.58E+12,Fwd
701,5,41,1.58E+12,No
702,4,81,1.58E+12,Fwd
703,5,48,1.58E+12,No
704,4,83,1.58E+12,Fwd
705,5,53,1.58E+12,No
706,4,81,1.58E+12,Fwd
707,5,64,1.58E+12,Left
708,22,41,1.58E+12,No
709,4,77,1.58E+12,Fwd
710,5,78,1.58E+12,Left
711,4,67,1.58E+12,Fwd
712,5,70,1.58E+12,Left
713,22,41,1.58E+12,No
714,22,43,1.58E+12,No
715,4,61,1.58E+12,Fwd
716,5,75,1.58E+12,Left
717,22,40,1.58E+12,No
718,22,41,1.58E+12,No
719,22,76,1.58E+12,Stop
720,22,43,1.58E+12,No
721,4,43,1.58E+12,No
722,5,50,1.58E+12,No
723,22,55,1.58E+12,No
724,4,48,1.58E+12,No
725,5,40,1.58E+12,No
726,22,37,1.58E+12,No
727,4,40,1.58E+12,No
728,5,34,1.58E+12,No
729,22,77,1.58E+12,Stop
730,4,43,1.58E+12,No
731,5,20,1.58E+12,No
732,4,66,1.58E+12,Fwd
733,5,43,1.58E+12,No
734,4,53,1.58E+12,No
735,5,35,1.58E+12,No
736,4,66,1.58E+12,Fwd
737,5,37,1.58E+12,No
738,4,77,1.58E+12,Fwd
739,5,48,1.58E+12,No
740,22,39,1.58E+12,No
741,4,67,1.58E+12,Fwd
742,5,30,1.58E+12,No
743,4,66,1.58E+12,Fwd
744,5,43,1.58E+12,No
745,4,60,1.58E+12,Fwd
746,5,41,1.58E+12,No
747,4,54,1.58E+12,No
748,5,41,1.58E+12,No
749,4,64,1.58E+12,Fwd
750,5,48,1.58E+12,No
751,4,70,1.58E+12,Fwd
752,5,30,1.58E+12,No
753,4,80,1.58E+12,Fwd
754,5,37,1.58E+12,No
755,4,77,1.58E+12,Fwd
756,5,34,1.58E+12,No
757,4,75,1.58E+12,Fwd
758,5,43,1.58E+12,No
759,4,78,1.58E+12,Fwd
760,5,44,1.58E+12,No
761,4,91,1.58E+12,Fwd
762,5,40,1.58E+12,No
763,22,39,1.58E+12,No
764,4,100,1.58E+12,Fwd
765,5,40,1.58E+12,No
766,4,96,1.58E+12,Fwd
767,5,34,1.58E+12,No
768,4,100,1.58E+12,Fwd
769,5,47,1.58E+12,No
770,4,83,1.58E+12,Fwd
771,5,47,1.58E+12,No
772,4,83,1.58E+12,Fwd
773,5,47,1.58E+12,No
774,22,42,1.58E+12,No
775,4,78,1.58E+12,Fwd
776,5,43,1.58E+12,No
777,22,39,1.58E+12,No
778,4,48,1.58E+12,No
779,5,30,1.58E+12,No
780,22,39,1.58E+12,No
781,22,43,1.58E+12,No
782,4,51,1.58E+12,No
783,5,24,1.58E+12,No
784,4,38,1.58E+12,No
785,5,20,1.58E+12,No
786,4,38,1.58E+12,No
787,5,16,1.58E+12,No
788,4,43,1.58E+12,No
789,5,34,1.58E+12,No
790,4,44,1.58E+12,No
791,5,51,1.58E+12,No
792,4,43,1.58E+12,No
793,5,51,1.58E+12,No
794,4,47,1.58E+12,No
795,5,61,1.58E+12,Left
796,4,63,1.58E+12,Fwd
797,5,48,1.58E+12,No
798,4,70,1.58E+12,Fwd
799,5,27,1.58E+12,No
800,4,74,1.58E+12,Fwd
801,5,26,1.58E+12,No
802,4,67,1.58E+12,Fwd
803,5,27,1.58E+12,No
804,4,66,1.58E+12,Fwd
805,5,38,1.58E+12,No
806,22,59,1.58E+12,No
807,22,94,1.58E+12,Stop
808,4,53,1.58E+12,No
809,5,43,1.58E+12,No
810,4,47,1.58E+12,No
811,5,34,1.58E+12,No
812,22,40,1.58E+12,No
813,22,43,1.58E+12,No
814,22,38,1.58E+12,No
815,4,57,1.58E+12,No
816,5,26,1.58E+12,No
817,22,40,1.58E+12,No
818,22,42,1.58E+12,No
819,4,48,1.58E+12,No
820,5,20,1.58E+12,No
821,4,48,1.58E+12,No
822,5,20,1.58E+12,No
823,4,48,1.58E+12,No
824,5,20,1.58E+12,No
825,4,43,1.58E+12,No
826,5,13,1.58E+12,No
827,4,48,1.58E+12,No
828,5,38,1.58E+12,No
829,4,51,1.58E+12,No
830,5,38,1.58E+12,No
831,4,54,1.58E+12,No
832,5,38,1.58E+12,No
833,4,70,1.58E+12,Fwd
834,5,48,1.58E+12,No
835,4,80,1.58E+12,Fwd
836,5,41,1.58E+12,No
837,22,37,1.58E+12,No
838,22,43,1.58E+12,No
839,4,57,1.58E+12,No
840,5,30,1.58E+12,No
841,4,56,1.58E+12,No
842,5,48,1.58E+12,No
843,4,43,1.58E+12,No
844,5,44,1.58E+12,No
845,4,41,1.58E+12,No
846,5,38,1.58E+12,No
847,4,57,1.58E+12,No
848,5,50,1.58E+12,No
849,4,66,1.58E+12,Fwd
850,5,47,1.58E+12,No
851,4,77,1.58E+12,Fwd
852,5,51,1.58E+12,No
853,22,45,1.58E+12,No
854,4,77,1.58E+12,Fwd
855,5,61,1.58E+12,Left
856,4,78,1.58E+12,Fwd
857,5,57,1.58E+12,No
858,22,55,1.58E+12,No
859,22,44,1.58E+12,No
860,22,37,1.58E+12,No
861,4,60,1.58E+12,Fwd
862,5,47,1.58E+12,No
863,22,39,1.58E+12,No
864,4,48,1.58E+12,No
865,5,38,1.58E+12,No
866,22,39,1.58E+12,No
867,4,34,1.58E+12,No
868,5,29,1.58E+12,No
869,22,40,1.58E+12,No
870,22,34,1.58E+12,No
871,4,23,1.58E+12,No
872,5,27,1.58E+12,No
873,4,43,1.58E+12,No
874,5,37,1.58E+12,No
875,4,53,1.58E+12,No
876,5,29,1.58E+12,No
877,4,74,1.58E+12,Fwd
878,5,44,1.58E+12,No
879,4,74,1.58E+12,Fwd
880,5,56,1.58E+12,No
881,4,74,1.58E+12,Fwd
882,5,50,1.58E+12,No
883,4,81,1.58E+12,Fwd
884,5,56,1.58E+12,No
885,22,35,1.58E+12,No
886,22,40,1.58E+12,No
887,4,66,1.58E+12,Fwd
888,5,47,1.58E+12,No
